Initials ,Date,Course_ID,Time (min),Summary
MKM,1/9/2023,DS 160-01,5,Finished filling in quartiles and maximum on Productivity-Experience excel sheet. 
MKM,1/9/2023,PHIL 301-01,70,Reading Chapter 2 of Living the Good Life by Jensen
MKM,1/10/2023,ENVS 320-01,82,Finished class notes
MKM,1/16/2023,ENVS 320-01,60,Finished Lab and submited 
MKM,1/17/2023,DS 160-01,30,finished assignment one and submitted 
MKM,1/18/2023,ENVS 390-01,70,wrote part of my research proposal
MKM,1/18/2023,BUSA 246-01,10,personal budget lab 
MKM,1/18/2023,ENVS 340-01,15,"reading Effects of Ground Water Exchange on 
the Hydrology and Ecology of Surface Water 
by Masaki Hayashi and Donald 0. Rosenberry"
MKM,1/20/2023,DS 160-01,70,Individual Assignment 2
MKM,1/22/2023,DS 160-01,36,Individual Assignment 2 - Finished
MKM,1/22/2023,DS 160-01,38,studying for numpy quiz
MKM,1/23/2023,ENVS 320-01,26,river flow lab
MKM,1/23/2023,ENVS 320-01,130,Hazard risk pressentation 
MKM,1/24/2023,ENVS 320-01,120,Hazard risk pressentation 
MKM,1/24/2023,ENVS 320-01,140,Hazard risk pressentation 
MKM,1/24/2023,ENVS 320-01,120,Hazard risk pressentation 
MKM,1/29/2023,PHIL 301-01,30,Essay question #1
MKM,1/29/2023,DS 160-01,25,Individual Assignment 3
MKM,1/30/2023,PHIL 301-01,47,Essay question #3
MKM,1/30/2023,PHIL 301-01,18,Essay question #2
MKM,1/30/2023,DS 160-01,23,Panadas practice notebook
MKM,1/30/2023,DS 160-01,15,Individual Assignment 3
MKM,1/30/2023,BUSA 246-01,20,Lab 3
MKM,1/30/2023,DS 160-01,39,Individual Assignment 3 - Finished
MKM,2/1/2023,BUSA 246-01,17,Lab 3 - Edited/Finished
MKM,2/8/2023,ENVS 390-01,90,Working on research proposal 
MKM,2/12/2023,ENVS 340-01,60,Lab 2.1 
MKM,2/13/2023,DS 160-01,60,Individual Assignment 4
